tag,device,dtype,raw_min,raw_max,eng_min,eng_max,desc
MVHI_F420,%MW1160,WORD,0.0,16000.0,0.0,60.0,소석회분말 정량공급 제어출력 조작값 상한
MVLO_F420,%MW1161,WORD,0.0,16000.0,0.0,60.0,소석회분말 정량공급 제어출력 조작값 하한
P_F420,%MW1162,WORD,0.0,10000.0,0.0,10000.0,소석회분말 정량공급 제어출력 PID-P
I_F420,%MW1163,WORD,0.0,30000.0,0.0,30000.0,소석회분말 정량공급 제어출력 PID-I
D_F420,%MW1164,WORD,0.0,30000.0,0.0,30000.0,소석회분말 정량공급 제어출력 PID-D
SV_P416A,%MW1165,WORD,0.0,16000.0,0.0,1500.0,소석회슬러지 공급펌프-A 제어출력 S.P(소석회공급유량)
MV_P416A,%MW1166,WORD,0.0,16000.0,0.0,60.0,소석회슬러지 공급펌프-A 제어출력 MAN OUT
MVHI_P416A,%MW1167,WORD,0.0,16000.0,0.0,60.0,소석회슬러지 공급펌프-A 제어출력 조작값 상한
MVLO_P416A,%MW1168,WORD,0.0,16000.0,0.0,60.0,소석회슬러지 공급펌프-A 제어출력 조작값 하한
P_P416A,%MW1169,WORD,0.0,10000.0,0.0,10000.0,소석회슬러지 공급펌프-A 제어출력 PID-P
I_P416A,%MW1170,WORD,0.0,30000.0,0.0,30000.0,소석회슬러지 공급펌프-A 제어출력 PID-I
D_P416A,%MW1171,WORD,0.0,30000.0,0.0,30000.0,소석회슬러지 공급펌프-A 제어출력 PID-D
SV_P416B,%MW1172,WORD,0.0,16000.0,0.0,1500.0,소석회슬러지 공급펌프-B 제어출력 S.P(소석회공급유량)
MV_P416B,%MW1173,WORD,0.0,16000.0,0.0,60.0,소석회슬러지 공급펌프-B 제어출력 MAN OUT
MVHI_P416B,%MW1174,WORD,0.0,16000.0,0.0,60.0,소석회슬러지 공급펌프-B 제어출력 조작값 상한
MVLO_P416B,%MW1175,WORD,0.0,16000.0,0.0,60.0,소석회슬러지 공급펌프-B 제어출력 조작값 하한
P_P416B,%MW1176,WORD,0.0,10000.0,0.0,10000.0,소석회슬러지 공급펌프-B 제어출력 PID-P
I_P416B,%MW1177,WORD,0.0,30000.0,0.0,30000.0,소석회슬러지 공급펌프-B 제어출력 PID-I
D_P416B,%MW1178,WORD,0.0,30000.0,0.0,30000.0,소석회슬러지 공급펌프-B 제어출력 PID-D
SV_TCV402_1,%MW1179,WORD,0.0,16000.0,0.0,500.0,공정수 공급조절밸브 S.P(CS)
MV_TCV402_1,%MW1180,WORD,0.0,16000.0,0.0,100.0,공정수 공급조절밸브 MAN OUT(CS)
MVHI_TCV402_1,%MW1181,WORD,0.0,16000.0,0.0,100.0,공정수 공급조절밸브 조작값 상한(CS)
MVLO_TCV402_1,%MW1182,WORD,0.0,16000.0,0.0,100.0,공정수 공급조절밸브 조작값 하한(CS)
P_TCV402_1,%MW1183,WORD,0.0,10000.0,0.0,10000.0,공정수 공급조절밸브 PID-P(CS)
I_TCV4032_1,%MW1184,WORD,0.0,30000.0,0.0,30000.0,공정수 공급조절밸브 PID-I(CS)
D_TCV402_1,%MW1185,DWORD,0.0,30000.0,0.0,30000.0,공정수 공급조절밸브 PID-D(CS)
NV218TS,%MW1186,WORD,0.0,1.0,0.0,1200.0,"상,하부호퍼 연동대기시간설정"
NV218TW,%MW1187,WORD,0.0,1.0,0.0,1200.0,"상,하부호퍼 연동대기시간경과"
NV216TS,%MW1188,WORD,0.0,1.0,0.0,1200.0,스토커 푸셔-1 설정시간
NV216TW,%MW1189,WORD,0.0,1.0,0.0,1200.0,스토커 푸셔-1 경과시간
NV217TS,%MW1190,WORD,0.0,1.0,0.0,1200.0,스토커 푸셔-2 설정시간
NV217TW,%MW1191,WORD,0.0,1.0,0.0,1200.0,스토커 푸셔-2 경과시간
NV215TS,%MW1192,WORD,0.0,16000.0,0.0,1200.0,화상피더 설정횟수
NV215TW,%MW1193,WORD,0.0,16000.0,0.0,3600.0,화상피더 경과횟수
NV212TS,%MW1194,WORD,0.0,16000.0,0.0,1200.0,스토커 푸셔-3 설정시간
NV212TW,%MW1195,WORD,0.0,16000.0,0.0,100.0,스토커 푸셔-3 경과시간
NV213TS,%MW1196,WORD,0.0,1.0,0.0,1200.0,스토커 푸셔-4 설정시간
NV213TW,%MW1197,WORD,0.0,1.0,0.0,100.0,스토커 푸셔-4 경과시간
NV214TS,%MW1198,WORD,0.0,1.0,0.0,1200.0,스토커 푸셔-5 설정시간
NV214TW,%MW1199,WORD,0.0,1.0,0.0,1200.0,스토커 푸셔-5 경과시간
B_AK_TM,%MW1200,WORD,0.0,1.0,0.0,1200.0,BAG AIR LOCK TIME
BAG_TM,%MW1201,WORD,0.0,1.0,0.0,1200.0,BAG FILTER TIME SET
BAG_TIMEPV,%MW1202,WORD,0.0,1.0,0.0,1200.0,BAG FILTER PV TIME
DPTEMP_OP,%MW1203,WORD,0.0,1.0,0.0,1200.0,BAG MAIN DAMPER  TEMP CONTROL
BF_DPPV,%MW1204,WORD,0.0,1.0,0.0,1200.0,BAG FILTER DIFF. PRESSURE AUTO PV
SV_SF801,%MW1207,WORD,0.0,16000.0,0.0,60.0,활성탄피더 속도 SET
MV_SF801,%MW1208,WORD,0.0,16000.0,0.0,60.0,활성탄피더 속도 OUT
SV_FCD401,%MW1217,WORD,0.0,1.0,0.0,1200.0,소각로내 압력 SET
MV_FCD401,%MW1218,WORD,0.0,1.0,0.0,1200.0,유인송풍기전단개도 OUT
MVHI_701AB,%MW1219,WORD,0.0,1.0,0.0,1200.0,석회수분무펌프 조작값 상한
MVLO_701AB,%MW1220,WORD,0.0,1.0,0.0,1200.0,석회수분무펌프 조작값 하한
B302AD_LOOPSET,%MW1221,WORD,0.0,1.0,0.0,1200.0,B302AD 반복주기 시간설정
B302AD_LOOPPV,%MW1222,WORD,0.0,1.0,0.0,1200.0,B302AD 반복주기 경과시간
B302AD_INTVSET,%MW1223,WORD,0.0,1.0,0.0,1200.0,B302AD 호기별간격 시간설정
AK419AD_LOOPSET,%MW1224,WORD,0.0,1.0,0.0,1200.0,AK419AD 반복주기 시간설정
AK419AD_LOOPPV,%MW1225,WORD,0.0,1.0,0.0,1200.0,AK419AD 반복주기 경과시간
AK419AD_INTVSET,%MW1226,WORD,0.0,1.0,0.0,1200.0,AK419AD 호기별 간격 시간설정
AK419AD_OPSET,%MW1227,WORD,0.0,1.0,0.0,1200.0,AK419AD 열림시간설정
XV102_TS,%MW1228,DWORD,0.0,100.0,0.0,100.0,XV102 WATER SV SET TIME
XV102_TPV,%MW1229,DWORD,0.0,100.0,0.0,100.0,XV102 WATER SV 시간경과
V405AB_LOOPSET,%MW1231,WORD,0.0,1.0,0.0,300.0,V405AB 반복주기 시간설정
V405AB_LOOPPV,%MW1232,WORD,0.0,1.0,0.0,300.0,V405AB 반복주기 경과시간
V405AB_ONSET,%MW1233,WORD,0.0,1.0,0.0,1200.0,V405AB 가동시간 시간설정
INS_LOOPSET,%MW1234,DWORD,0.0,1000.0,0.0,1000.0,nan
INS_LOOPPV,%MW1235,DWORD,0.0,1000.0,0.0,1000.0,nan
BF_LOOPSET,%MW1236,WORD,0.0,1.0,0.0,300.0,BAG FILTER 120mmAq이하 대기시간
BF_LOOPPV,%MW1237,WORD,0.0,1.0,0.0,300.0,BAG FILTER 120mmAq이하 경과시간
BF_PULSESET,%MW1238,WORD,0.0,1.0,0.0,1200.0,BF PULSING TIME 시간설정
BF_PDLSSET,%MW1239,WORD,0.0,1.0,0.0,1200.0,POPPET DAMPER L/S 후 대기시간설정
